iter	RMSE	MAP:top=5
501	0.709149673	0.705133678
502	0.7091032874	0.7051295092
503	0.7090485443	0.7047832249
504	0.70895693	0.70492663
505	0.7088736899	0.7048682675
506	0.708819222	0.7055069201
507	0.7087654593	0.7055169251
508	0.7086906102	0.705460647
509	0.7086202311	0.7052378967
510	0.7085768216	0.7051328442
511	0.7085395845	0.7051328442
512	0.7084909254	0.7052779167
513	0.7084347495	0.7056014118
514	0.7083788169	0.7059340782
515	0.7083253632	0.7056839531
516	0.7082337663	0.7057331443
517	0.7081820929	0.7055563893
518	0.708145928	0.705774276
519	0.7080683086	0.7060252348
520	0.7079973421	0.706478795
521	0.7079426822	0.7067126619
522	0.7078901455	0.7068268857
523	0.7078148573	0.7071045245
524	0.7077620593	0.707182897
525	0.7077023568	0.707319632
526	0.707670778	0.7075730921
527	0.7076109335	0.707994136
528	0.7075200602	0.7076556334
529	0.7074518106	0.7076952365
530	0.7073798905	0.7083809961
531	0.7073352228	0.7089312712
532	0.707287055	0.7089537824
533	0.70719794	0.709032155
534	0.7071581532	0.7087903674
535	0.7070873128	0.7089387749
536	0.7070237447	0.7084760436
537	0.7069733516	0.7086653049
538	0.7069470682	0.709178895
539	0.7068772655	0.7092772775
540	0.7068284715	0.7091305375
541	0.7067791112	0.70932897
542	0.7067094743	0.7095891001
543	0.7066562819	0.7099426102
544	0.7065861834	0.7103857484
545	0.7065488855	0.7105558335
546	0.7065027707	0.710500806
547	0.7064424247	0.7106358735
548	0.7063895318	0.7109162915
549	0.7063319524	0.710897949
550	0.7062889911	0.7107445389
551	0.7062410233	0.7110221778
552	0.706172215	0.7109071202
553	0.7060816406	0.7111394586
554	0.7060311443	0.7110494136
555	0.7059818411	0.7113709633
556	0.7059179699	0.7114396087
557	0.7058346291	0.7115813462
558	0.7057962307	0.7114971375
559	0.705790603	0.71156217
560	0.7057417917	0.7115004725
561	0.7056824014	0.7120023901
562	0.7056430401	0.7121424601
563	0.7055855612	0.7121808126
564	0.7055054849	0.7119823801
565	0.7054480526	0.7120624201
566	0.7053989993	0.7123025402
567	0.7053488873	0.7116405425
568	0.7052901872	0.7114938025
569	0.7052272567	0.7113754099
570	0.7051231813	0.7115842644
571	0.7050799637	0.7114461397
572	0.7050264521	0.7114225168
573	0.7049945029	0.7114275193
574	0.7049522876	0.7117487911
575	0.7049088999	0.7121223112
576	0.7048540123	0.7122840587
577	0.7048142944	0.7123324162
578	0.7047689655	0.7123257462
579	0.7047093377	0.7127976488
580	0.7046456299	0.7126442388
581	0.704583689	0.7127542938
582	0.7045379434	0.7132207771
583	0.7044688929	0.7127071869
584	0.704420108	0.713471319
585	0.7043692635	0.713514674
586	0.7043164613	0.713364599
587	0.7042560368	0.7135892946
588	0.7042022271	0.7139640654
589	0.7041073986	0.7139057029
590	0.704038372	0.7141975154
591	0.7039965436	0.7142246123
592	0.7039343068	0.7141045523
593	0.7038796039	0.7143713523
594	0.703842757	0.7142696348
595	0.7037914874	0.7142396198
596	0.7037461058	0.7140028348
597	0.7036947763	0.7142979823
598	0.7036580359	0.7144455561
599	0.7036053248	0.7142387861
600	0.7035608483	0.7143271636
601	0.7035109129	0.7143338336
602	0.703469074	0.7144238786
603	0.7034101957	0.7147123562
604	0.7033803497	0.7151292313
605	0.7033326601	0.7151725863
606	0.7032691386	0.7153560113
607	0.7032232104	0.7155844589
608	0.7031045272	0.7158683508
609	0.7030432521	0.7157716358
610	0.702974941	0.7153981157
611	0.7029207584	0.7155066422
612	0.7028738997	0.7157967873
613	0.7028054066	0.7154011728
614	0.7027347176	0.7154228503
615	0.7026908256	0.7157688567
616	0.7026568526	0.7158772442
617	0.7026041346	0.7156237841
618	0.7025516888	0.7156621366
619	0.7024692438	0.7157771942
620	0.702399621	0.7162490968
621	0.7023343571	0.7162557668
622	0.7023032223	0.7163774943
623	0.7022538801	0.716181563
624	0.7021974001	0.7161878161
625	0.7021405811	0.7162907843
626	0.7020855276	0.7165004725
627	0.7020195729	0.71674893
628	0.7019663007	0.7172466789
629	0.7019159249	0.7175685065
630	0.7018578197	0.7177019065
631	0.7018145976	0.7180504141
632	0.7017465348	0.7181121116
633	0.7016694276	0.7181521316
634	0.7015966575	0.7181988216
635	0.7015006234	0.7182321716
636	0.7014452721	0.7181504641
637	0.7013937956	0.7183455617
638	0.7013409357	0.7185239842
639	0.7012839276	0.7186140292
640	0.7012465468	0.7181396254
641	0.7012029194	0.7181079429
642	0.7011509749	0.7184785448
643	0.7011115411	0.7187389528
644	0.7010679551	0.7184888277
645	0.7009907123	0.7185388528
646	0.7009379971	0.7186594686
647	0.7008844373	0.7187057418
648	0.7008156057	0.7187040743
649	0.7007751091	0.7188569285
650	0.7007443104	0.7189479462
651	0.7007117657	0.7191303985
652	0.7006703762	0.7188802735
653	0.7006066696	0.7191170585
654	0.7005560056	0.7194110944
655	0.7005001874	0.7196273137
656	0.7004469876	0.7192988161
657	0.7004031092	0.7195756211
658	0.7003551853	0.7196507976
659	0.7003251169	0.7198058752
660	0.7002803382	0.7199409427
661	0.7002188766	0.7200326552
662	0.7001510745	0.7205320716
